#Experiment_s	Run_s
SRX996325	SRR1975007
SRX996326	SRR1975008
SRX996324	SRR1975006
SRX996323	SRR1975005
SRX996322	SRR1975004
SRX996321	SRR1975003
SRX996319	SRR1975001
SRX996320	SRR1975002
SRX996317	SRR1974999
SRX996318	SRR1975000
SRX996316	SRR1974998
SRX996315	SRR1974997
SRX996255	SRR1974937
SRX996256	SRR1974938
SRX996257	SRR1974939
SRX996258	SRR1974940
SRX996259	SRR1974941
SRX996260	SRR1974942
SRX996261	SRR1974943
SRX996262	SRR1974944
SRX996263	SRR1974945
SRX996264	SRR1974946
SRX996265	SRR1974947
SRX996266	SRR1974948
SRX996302	SRR1974984
SRX996304	SRR1974986
SRX996305	SRR1974987
SRX996306	SRR1974988
SRX996307	SRR1974989
SRX996308	SRR1974990
SRX996309	SRR1974991
SRX996310	SRR1974992
SRX996311	SRR1974993
SRX996312	SRR1974994
SRX996313	SRR1974995
SRX996314	SRR1974996
SRX996159	SRR1974841
SRX996160	SRR1974842
SRX996161	SRR1974843
SRX996162	SRR1974844
SRX996163	SRR1974845
SRX996164	SRR1974846
SRX996165	SRR1974847
SRX996166	SRR1974848
SRX996167	SRR1974849
SRX996168	SRR1974850
SRX996169	SRR1974851
SRX996170	SRR1974852
SRX996267	SRR1974949
SRX996268	SRR1974950
SRX996269	SRR1974951
SRX996270	SRR1974952
SRX996271	SRR1974953
SRX996272	SRR1974954
SRX996273	SRR1974955
SRX996274	SRR1974956
SRX996275	SRR1974957
SRX996276	SRR1974958
SRX996277	SRR1974959
SRX996278	SRR1974960
SRX996279	SRR1974961
SRX996280	SRR1974962
SRX996281	SRR1974963
SRX996282	SRR1974964
SRX996283	SRR1974965
SRX996284	SRR1974966
SRX996285	SRR1974967
SRX996286	SRR1974968
SRX996287	SRR1974969
SRX996288	SRR1974970
SRX996289	SRR1974971
SRX996290	SRR1974972
SRX996291	SRR1974973
SRX996292	SRR1974974
SRX996293	SRR1974975
SRX996294	SRR1974976
SRX996295	SRR1974977
SRX996296	SRR1974978
SRX996297	SRR1974979
SRX996298	SRR1974980
SRX996299	SRR1974981
SRX996300	SRR1974982
SRX996301	SRR1974983
SRX996303	SRR1974985
SRX996056	SRR1974738
SRX996057	SRR1974739
SRX996058	SRR1974740
SRX996059	SRR1974741
SRX996060	SRR1974742
SRX996061	SRR1974743
SRX996062	SRR1974744
SRX996063	SRR1974745
SRX996064	SRR1974746
SRX996065	SRR1974747
SRX996066	SRR1974748
SRX996067	SRR1974749
SRX996171	SRR1974853
SRX996172	SRR1974854
SRX996173	SRR1974855
SRX996174	SRR1974856
SRX996175	SRR1974857
SRX996176	SRR1974858
SRX996177	SRR1974859
SRX996178	SRR1974860
SRX996179	SRR1974861
SRX996180	SRR1974862
SRX996181	SRR1974863
SRX996182	SRR1974864
SRX996183	SRR1974865
SRX996184	SRR1974866
SRX996185	SRR1974867
SRX996186	SRR1974868
SRX996187	SRR1974869
SRX996188	SRR1974870
SRX996189	SRR1974871
SRX996190	SRR1974872
SRX996191	SRR1974873
SRX996192	SRR1974874
SRX996193	SRR1974875
SRX996194	SRR1974876
SRX996195	SRR1974877
SRX996196	SRR1974878
SRX996197	SRR1974879
SRX996198	SRR1974880
SRX996199	SRR1974881
SRX996200	SRR1974882
SRX996201	SRR1974883
SRX996202	SRR1974884
SRX996203	SRR1974885
SRX996204	SRR1974886
SRX996205	SRR1974887
SRX996206	SRR1974888
SRX996207	SRR1974889
SRX996208	SRR1974890
SRX996209	SRR1974891
SRX996210	SRR1974892
SRX996211	SRR1974893
SRX996212	SRR1974894
SRX996213	SRR1974895
SRX996214	SRR1974896
SRX996215	SRR1974897
SRX996216	SRR1974898
SRX996217	SRR1974899
SRX996218	SRR1974900
SRX996219	SRR1974901
SRX996220	SRR1974902
SRX996221	SRR1974903
SRX996222	SRR1974904
SRX996223	SRR1974905
SRX996224	SRR1974906
SRX996225	SRR1974907
SRX996226	SRR1974908
SRX996227	SRR1974909
SRX996228	SRR1974910
SRX996229	SRR1974911
SRX996230	SRR1974912
SRX996231	SRR1974913
SRX996232	SRR1974914
SRX996233	SRR1974915
SRX996234	SRR1974916
SRX996235	SRR1974917
SRX996236	SRR1974918
SRX996237	SRR1974919
SRX996238	SRR1974920
SRX996239	SRR1974921
SRX996240	SRR1974922
SRX996241	SRR1974923
SRX996242	SRR1974924
SRX996243	SRR1974925
SRX996244	SRR1974926
SRX996245	SRR1974927
SRX996246	SRR1974928
SRX996247	SRR1974929
SRX996248	SRR1974930
SRX996249	SRR1974931
SRX996250	SRR1974932
SRX996251	SRR1974933
SRX996252	SRR1974934
SRX996253	SRR1974935
SRX996254	SRR1974936
SRX995956	SRR1974638
SRX995957	SRR1974639
SRX995958	SRR1974640
SRX995959	SRR1974641
SRX995960	SRR1974642
SRX995961	SRR1974643
SRX995962	SRR1974644
SRX995963	SRR1974645
SRX995964	SRR1974646
SRX995965	SRR1974647
SRX995966	SRR1974648
SRX995967	SRR1974649
