#Experiment_s	Run_s
SRX1454140	SRR2963593
SRX1454140	SRR2963594
SRX1454140	SRR2963595
SRX1454307	SRR2963984
SRX1454307	SRR2963985
SRX1454380	SRR2964130
SRX1454380	SRR2964131
SRX1454439	SRR2964298
SRX1454439	SRR2964299
SRX1454439	SRR2964300
SRX1454552	SRR2964570
SRX1454552	SRR2964571
SRX1454608	SRR2964682
SRX1454608	SRR2964683
SRX1454663	SRR2964792
SRX1454663	SRR2964793
SRX1454892	SRR2965250
SRX1454892	SRR2965251
SRX1454958	SRR2965382
SRX1454958	SRR2965383
SRX1455023	SRR2965512
SRX1455023	SRR2965513
SRX1455060	SRR2965586
SRX1455060	SRR2965587
SRX1455059	SRR2965584
SRX1455059	SRR2965585
SRX1455058	SRR2965582
SRX1455058	SRR2965583
SRX1455057	SRR2965580
SRX1455057	SRR2965581
SRX1455056	SRR2965578
SRX1455056	SRR2965579
SRX1455055	SRR2965576
SRX1455055	SRR2965577
SRX1455054	SRR2965574
SRX1455054	SRR2965575
SRX1455053	SRR2965572
SRX1455053	SRR2965573
SRX1455052	SRR2965570
SRX1455052	SRR2965571
SRX1455051	SRR2965568
SRX1455051	SRR2965569
SRX1455050	SRR2965566
SRX1455050	SRR2965567
SRX1455049	SRR2965564
SRX1455049	SRR2965565
SRX1455048	SRR2965562
SRX1455048	SRR2965563
SRX1455047	SRR2965560
SRX1455047	SRR2965561
SRX1455046	SRR2965558
SRX1455046	SRR2965559
SRX1455045	SRR2965556
SRX1455045	SRR2965557
SRX1455044	SRR2965554
SRX1455044	SRR2965555
SRX1455043	SRR2965552
SRX1455043	SRR2965553
SRX1455042	SRR2965550
SRX1455042	SRR2965551
SRX1455041	SRR2965548
SRX1455041	SRR2965549
SRX1455040	SRR2965546
SRX1455040	SRR2965547
SRX1455039	SRR2965544
SRX1455039	SRR2965545
SRX1455038	SRR2965542
SRX1455038	SRR2965543
SRX1455037	SRR2965540
SRX1455037	SRR2965541
SRX1455036	SRR2965538
SRX1455036	SRR2965539
SRX1455035	SRR2965536
SRX1455035	SRR2965537
SRX1455034	SRR2965534
SRX1455034	SRR2965535
SRX1455033	SRR2965532
SRX1455033	SRR2965533
SRX1455032	SRR2965530
SRX1455032	SRR2965531
SRX1455031	SRR2965528
SRX1455031	SRR2965529
SRX1455030	SRR2965526
SRX1455030	SRR2965527
SRX1455029	SRR2965524
SRX1455029	SRR2965525
SRX1455028	SRR2965522
SRX1455028	SRR2965523
SRX1455027	SRR2965520
SRX1455027	SRR2965521
SRX1455026	SRR2965518
SRX1455026	SRR2965519
SRX1455025	SRR2965516
SRX1455025	SRR2965517
SRX1455024	SRR2965514
SRX1455024	SRR2965515
SRX1455022	SRR2965510
SRX1455022	SRR2965511
SRX1455021	SRR2965508
SRX1455021	SRR2965509
SRX1455020	SRR2965506
SRX1455020	SRR2965507
SRX1455019	SRR2965504
SRX1455019	SRR2965505
SRX1455018	SRR2965502
SRX1455018	SRR2965503
SRX1455017	SRR2965500
SRX1455017	SRR2965501
SRX1455016	SRR2965498
SRX1455016	SRR2965499
SRX1455015	SRR2965496
SRX1455015	SRR2965497
SRX1455014	SRR2965494
SRX1455014	SRR2965495
SRX1455013	SRR2965492
SRX1455013	SRR2965493
SRX1455012	SRR2965490
SRX1455012	SRR2965491
SRX1455011	SRR2965488
SRX1455011	SRR2965489
SRX1455010	SRR2965486
SRX1455010	SRR2965487
SRX1455009	SRR2965484
SRX1455009	SRR2965485
SRX1455008	SRR2965482
SRX1455008	SRR2965483
SRX1455007	SRR2965480
SRX1455007	SRR2965481
SRX1455006	SRR2965478
SRX1455006	SRR2965479
SRX1455005	SRR2965476
SRX1455005	SRR2965477
SRX1455004	SRR2965474
SRX1455004	SRR2965475
SRX1455003	SRR2965472
SRX1455003	SRR2965473
SRX1455002	SRR2965470
SRX1455002	SRR2965471
SRX1455001	SRR2965468
SRX1455001	SRR2965469
SRX1455000	SRR2965466
SRX1455000	SRR2965467
SRX1454999	SRR2965464
SRX1454999	SRR2965465
SRX1454998	SRR2965462
SRX1454998	SRR2965463
SRX1454997	SRR2965460
SRX1454997	SRR2965461
SRX1454996	SRR2965458
SRX1454996	SRR2965459
SRX1454995	SRR2965456
SRX1454650	SRR2964766
SRX1454650	SRR2964767
SRX1454652	SRR2964770
SRX1454652	SRR2964771
SRX1454653	SRR2964772
SRX1454653	SRR2964773
SRX1454654	SRR2964774
SRX1454654	SRR2964775
SRX1454655	SRR2964776
SRX1454655	SRR2964777
SRX1454656	SRR2964778
SRX1454656	SRR2964779
SRX1454657	SRR2964780
SRX1454657	SRR2964781
SRX1454658	SRR2964782
SRX1454658	SRR2964783
SRX1454659	SRR2964784
SRX1454659	SRR2964785
SRX1454660	SRR2964786
