#Experiment_s	Run_s
SRX129997	SRR445718
SRX129998	SRR445719
SRX129999	SRR445720
SRX130000	SRR445721
SRX130001	SRR445722
SRX130002	SRR445723
SRX130003	SRR445724
SRX130004	SRR445725
SRX130005	SRR445726
SRX130006	SRR445727
SRX130007	SRR445728
SRX130008	SRR445729
SRX130009	SRR445730
SRX130010	SRR445731
SRX144340	SRR490961
SRX144341	SRR490962
SRX144342	SRR490963
SRX144343	SRR490964
SRX144344	SRR490965
SRX144345	SRR490966
SRX144346	SRR490967
SRX144347	SRR490968
SRX144348	SRR490969
SRX144349	SRR490970
SRX144350	SRR490971
SRX144351	SRR490972
SRX144352	SRR490973
SRX144353	SRR490974
SRX144354	SRR490975
SRX144355	SRR490976
SRX144356	SRR490977
SRX144357	SRR490978
SRX144358	SRR490979
SRX144359	SRR490980
SRX144360	SRR490981
SRX144361	SRR490982
SRX144362	SRR490983
SRX144363	SRR490984
SRX144364	SRR490985
SRX144365	SRR490986
SRX144366	SRR490987
SRX144367	SRR490988
SRX144368	SRR490989
SRX144369	SRR490990
SRX144370	SRR490991
SRX144371	SRR490992
SRX144372	SRR490993
SRX144373	SRR490994
SRX144374	SRR490995
SRX144375	SRR490996
SRX144376	SRR490997
SRX144377	SRR490998
SRX144378	SRR490999
SRX144379	SRR491000
SRX144380	SRR491001
SRX144381	SRR491002
SRX144382	SRR491003
SRX144383	SRR491004
SRX144384	SRR491005
SRX144385	SRR491006
SRX144386	SRR491007
SRX144387	SRR491008
SRX144388	SRR491009
SRX144389	SRR491010
SRX144390	SRR491011
SRX144391	SRR491012
SRX144392	SRR491013
SRX144393	SRR491014
SRX144394	SRR491015
SRX144395	SRR491016
SRX144396	SRR491017
SRX144397	SRR491018
SRX144398	SRR491019
SRX144399	SRR491020
SRX144400	SRR491021
SRX144401	SRR491022
SRX144402	SRR491023
SRX144403	SRR491024
SRX144404	SRR491025
SRX144405	SRR491026
SRX144406	SRR491027
SRX144407	SRR491028
SRX144408	SRR491029
SRX144409	SRR491030
SRX144410	SRR491031
SRX144411	SRR491032
SRX144412	SRR491033
SRX144413	SRR491034
SRX144414	SRR491035
SRX144415	SRR491036
SRX144416	SRR491037
SRX144417	SRR491038
SRX144418	SRR491039
SRX144419	SRR491040
SRX144420	SRR491041
SRX144421	SRR491042
SRX144422	SRR491043
SRX144424	SRR491045
SRX144444	SRR491065
SRX144445	SRR491066
SRX144446	SRR491067
SRX144447	SRR491068
SRX144448	SRR491069
SRX144449	SRR491070
SRX144450	SRR491071
SRX144451	SRR491072
SRX144452	SRR491073
SRX144453	SRR491074
SRX144454	SRR491075
SRX144455	SRR491076
SRX144456	SRR491077
SRX144457	SRR491078
SRX144458	SRR491079
SRX144459	SRR491080
SRX144460	SRR491081
SRX144461	SRR491082
SRX144462	SRR491083
SRX144463	SRR491084
SRX144464	SRR491085
SRX144465	SRR491086
SRX144466	SRR491087
SRX144467	SRR491088
SRX144468	SRR491089
SRX144469	SRR491090
