#Experiment_s	Run_s
SRX2390155	SRR5070308
SRX2390157	SRR5070310
SRX2390160	SRR5070313
SRX2390162	SRR5070315
SRX2390164	SRR5070317
SRX2390167	SRR5070320
SRX2390169	SRR5070322
SRX2390171	SRR5070324
SRX2390173	SRR5070326
SRX2390175	SRR5070328
SRX2390177	SRR5070330
SRX2390154	SRR5070307
SRX2390156	SRR5070309
SRX2390158	SRR5070311
SRX2390159	SRR5070312
SRX2390161	SRR5070314
SRX2390163	SRR5070316
SRX2390165	SRR5070318
SRX2390166	SRR5070319
SRX2390168	SRR5070321
SRX2390170	SRR5070323
SRX2390172	SRR5070325
SRX2390174	SRR5070327
SRX2390176	SRR5070329
SRX2390178	SRR5070331
