#Experiment_s	Run_s
SRX2044589	SRR4055063
SRX2044590	SRR4055064
SRX2044591	SRR4055065
SRX2044592	SRR4055066
SRX2044593	SRR4055067
SRX2044595	SRR4055069
SRX2044594	SRR4055068
SRX2044596	SRR4055070
SRX2044597	SRR4055071
SRX2044598	SRR4055072
SRX2044599	SRR4055073
SRX2044600	SRR4055074
SRX2044601	SRR4055075
SRX2044602	SRR4055077
SRX2044603	SRR4055078
SRX2044604	SRR4055079
SRX2044605	SRR4055080
SRX2044606	SRR4055081
SRX2044607	SRR4055082
SRX2044608	SRR4055083
SRX2044609	SRR4055084
SRX2044610	SRR4055085
SRX2044611	SRR4055086
SRX2044612	SRR4055087
SRX2044613	SRR4055088
SRX2044614	SRR4055089
SRX2044615	SRR4055090
SRX2044616	SRR4055091
SRX2044617	SRR4055092
SRX2044618	SRR4055093
SRX2044619	SRR4055094
SRX2044620	SRR4055095
SRX2044621	SRR4055096
SRX2044622	SRR4055097
SRX2044624	SRR4055099
SRX2044623	SRR4055098
SRX2044625	SRR4055100
SRX2044626	SRR4055101
SRX2044627	SRR4055102
SRX2044628	SRR4055103
SRX2044629	SRR4055104
SRX2044630	SRR4055105
SRX2044632	SRR4055107
SRX2044631	SRR4055106
SRX2044633	SRR4055108
SRX2044634	SRR4055109
SRX2044635	SRR4055110
SRX2044636	SRR4055111
SRX2044638	SRR4055113
SRX2044637	SRR4055112
SRX2044639	SRR4055114
SRX2044640	SRR4055115
SRX2044641	SRR4055116
SRX2044642	SRR4055117
SRX2044643	SRR4055118
SRX2044644	SRR4055119
SRX2044645	SRR4055120
SRX2044646	SRR4055121
SRX2044647	SRR4055122
SRX2044648	SRR4055123
SRX2044649	SRR4055124
SRX2044650	SRR4055125
SRX2044651	SRR4055126
SRX2044652	SRR4055127
SRX2044653	SRR4055128
SRX2044654	SRR4055129
SRX2044655	SRR4055130
SRX2044656	SRR4055131
SRX2044657	SRR4055132
SRX2044658	SRR4055133
SRX2044659	SRR4055134
SRX2044660	SRR4055135
SRX2044661	SRR4055136
SRX2044662	SRR4055137
SRX2044663	SRR4055138
SRX2044664	SRR4055139
SRX2044666	SRR4055141
SRX2044665	SRR4055140
SRX2044667	SRR4055142
SRX2044668	SRR4055143
SRX2044669	SRR4055144
SRX2044670	SRR4055145
SRX2044671	SRR4055146
SRX2044672	SRR4055147
SRX2044673	SRR4055148
SRX2044674	SRR4055149
SRX2044675	SRR4055150
SRX2044676	SRR4055151
SRX2044677	SRR4055152
SRX2044678	SRR4055153
SRX2044679	SRR4055154
SRX2044680	SRR4055155
SRX2044682	SRR4055157
SRX2044681	SRR4055156
SRX2044683	SRR4055158
SRX2044684	SRR4055159
SRX2044685	SRR4055160
SRX2044686	SRR4055161
SRX2044687	SRR4055162
SRX2044688	SRR4055163
SRX2044689	SRR4055164
SRX2044690	SRR4055165
SRX2044691	SRR4055166
SRX2044692	SRR4055167
