#Experiment_s	Run_s
SRX2059667	SRR4081197
SRX2059668	SRR4081198
SRX2059669	SRR4081199
SRX2059670	SRR4081200
SRX2059671	SRR4081201
SRX2148088	SRR4199308
SRX2148089	SRR4199309
SRX2148090	SRR4199310
SRX2148091	SRR4199311
SRX2148092	SRR4199312
SRX2148093	SRR4199313
SRX2148094	SRR4199314
SRX2148095	SRR4199315
SRX2148096	SRR4199316
SRX2148097	SRR4199317
SRX2148098	SRR4199318
SRX2148099	SRR4199319
SRX2148100	SRR4199320
SRX2148101	SRR4199321
SRX2148102	SRR4199322
SRX2148103	SRR4199323
SRX2148104	SRR4199324
SRX2148105	SRR4199325
SRX2148106	SRR4199326
SRX2148107	SRR4199327
SRX2148108	SRR4199328
SRX2148109	SRR4199329
SRX2148110	SRR4199330
SRX2148111	SRR4199331
SRX2148112	SRR4199332
SRX2148113	SRR4199333
SRX2148114	SRR4199334
SRX2148115	SRR4199335
SRX2148116	SRR4199336
SRX2148117	SRR4199337
SRX2148118	SRR4199338
SRX2148119	SRR4199339
SRX2148120	SRR4199340
SRX2148121	SRR4199341
SRX2148122	SRR4199342
SRX2148123	SRR4199343
SRX2148124	SRR4199344
SRX2148125	SRR4199345
