#Experiment_s	Run_s
SRX1082065	SRR2088096
SRX1082097	SRR2088128
SRX1082122	SRR2088153
SRX1082148	SRR2088179
SRX1082174	SRR2088205
SRX1082195	SRR2088226
SRX1082221	SRR2088252
SRX1082246	SRR2088277
SRX1082271	SRR2088302
SRX1082298	SRR2088329
SRX1082334	SRR2088365
SRX1082359	SRR2088390
SRX1082390	SRR2088421
SRX1082417	SRR2088448
SRX1082442	SRR2088473
SRX1082475	SRR2088506
SRX1082502	SRR2088533
SRX1082513	SRR2088544
SRX1082514	SRR2088545
SRX1082515	SRR2088546
SRX1082516	SRR2088547
SRX1082517	SRR2088548
SRX1082518	SRR2088549
SRX1082519	SRR2088550
SRX1082520	SRR2088551
SRX1082521	SRR2088552
SRX1082522	SRR2088553
SRX1082523	SRR2088554
SRX1082524	SRR2088555
SRX1082525	SRR2088556
SRX1082480	SRR2088511
SRX1082481	SRR2088512
SRX1082482	SRR2088513
SRX1082483	SRR2088514
SRX1082484	SRR2088515
SRX1082485	SRR2088516
SRX1082486	SRR2088517
SRX1082487	SRR2088518
SRX1082488	SRR2088519
SRX1082489	SRR2088520
SRX1082490	SRR2088521
SRX1082491	SRR2088522
SRX1082492	SRR2088523
SRX1082493	SRR2088524
SRX1082494	SRR2088525
SRX1082495	SRR2088526
SRX1082496	SRR2088527
SRX1082497	SRR2088528
SRX1082498	SRR2088529
SRX1082499	SRR2088530
SRX1082500	SRR2088531
SRX1082501	SRR2088532
SRX1082503	SRR2088534
SRX1082504	SRR2088535
SRX1082505	SRR2088536
SRX1082506	SRR2088537
SRX1082507	SRR2088538
SRX1082508	SRR2088539
SRX1082509	SRR2088540
SRX1082510	SRR2088541
SRX1082511	SRR2088542
SRX1082512	SRR2088543
SRX1082429	SRR2088460
SRX1082430	SRR2088461
SRX1082431	SRR2088462
SRX1082432	SRR2088463
SRX1082433	SRR2088464
SRX1082434	SRR2088465
SRX1082435	SRR2088466
SRX1082436	SRR2088467
SRX1082437	SRR2088468
SRX1082438	SRR2088469
SRX1082439	SRR2088470
SRX1082440	SRR2088471
SRX1082441	SRR2088472
SRX1082443	SRR2088474
SRX1082444	SRR2088475
SRX1082445	SRR2088476
SRX1082446	SRR2088477
SRX1082447	SRR2088478
SRX1082448	SRR2088479
SRX1082449	SRR2088480
SRX1082450	SRR2088481
SRX1082451	SRR2088482
SRX1082452	SRR2088483
SRX1082453	SRR2088484
SRX1082454	SRR2088485
SRX1082455	SRR2088486
SRX1082456	SRR2088487
SRX1082457	SRR2088488
SRX1082458	SRR2088489
SRX1082459	SRR2088490
SRX1082460	SRR2088491
SRX1082461	SRR2088492
SRX1082462	SRR2088493
SRX1082463	SRR2088494
SRX1082464	SRR2088495
SRX1082465	SRR2088496
SRX1082466	SRR2088497
SRX1082467	SRR2088498
SRX1082468	SRR2088499
SRX1082469	SRR2088500
SRX1082470	SRR2088501
SRX1082471	SRR2088502
SRX1082472	SRR2088503
SRX1082473	SRR2088504
SRX1082474	SRR2088505
SRX1082476	SRR2088507
SRX1082477	SRR2088508
SRX1082478	SRR2088509
SRX1082479	SRR2088510
SRX1082528	SRR2088559
SRX1082529	SRR2088560
SRX1082531	SRR2088562
SRX1082532	SRR2088563
SRX1082554	SRR2088585
SRX1082560	SRR2088591
SRX1082561	SRR2088592
SRX1082571	SRR2088602
SRX1082588	SRR2088619
SRX1082589	SRR2088620
SRX1082590	SRR2088621
SRX1082599	SRR2088630
SRX1082615	SRR2088646
SRX1082618	SRR2088649
SRX1082619	SRR2088650
SRX1082553	SRR2088584
SRX1082555	SRR2088586
SRX1082556	SRR2088587
SRX1082557	SRR2088588
SRX1082558	SRR2088589
SRX1082559	SRR2088590
SRX1082562	SRR2088593
SRX1082563	SRR2088594
SRX1082564	SRR2088595
SRX1082565	SRR2088596
SRX1082566	SRR2088597
SRX1082567	SRR2088598
SRX1082568	SRR2088599
SRX1082569	SRR2088600
SRX1082570	SRR2088601
SRX1082572	SRR2088603
SRX1082573	SRR2088604
SRX1082574	SRR2088605
SRX1082575	SRR2088606
SRX1082576	SRR2088607
SRX1082577	SRR2088608
SRX1082578	SRR2088609
SRX1082579	SRR2088610
SRX1082580	SRR2088611
SRX1082581	SRR2088612
SRX1082582	SRR2088613
SRX1082583	SRR2088614
SRX1082584	SRR2088615
SRX1082585	SRR2088616
SRX1082586	SRR2088617
SRX1082587	SRR2088618
SRX1082591	SRR2088622
SRX1082592	SRR2088623
SRX1082593	SRR2088624
SRX1082594	SRR2088625
SRX1082595	SRR2088626
SRX1082596	SRR2088627
SRX1082597	SRR2088628
SRX1082598	SRR2088629
SRX1082600	SRR2088631
SRX1082601	SRR2088632
SRX1082602	SRR2088633
SRX1082603	SRR2088634
SRX1082604	SRR2088635
SRX1082605	SRR2088636
SRX1082606	SRR2088637
SRX1082607	SRR2088638
SRX1082608	SRR2088639
SRX1082609	SRR2088640
SRX1082610	SRR2088641
SRX1082611	SRR2088642
SRX1082612	SRR2088643
SRX1082613	SRR2088644
SRX1082614	SRR2088645
SRX1082616	SRR2088647
SRX1082617	SRR2088648
SRX1082620	SRR2088651
