#Experiment_s	Run_s
SRX1304143	SRR2558111
SRX1304144	SRR2558112
SRX1304145	SRR2558113
SRX1304146	SRR2558114
SRX1304147	SRR2558115
SRX1304148	SRR2558116
SRX1304149	SRR2558117
SRX1304150	SRR2558118
SRX1304151	SRR2558119
SRX1304152	SRR2558120
SRX1304153	SRR2558121
SRX1304154	SRR2558122
SRX1304155	SRR2558123
SRX1304156	SRR2558124
SRX1304157	SRR2558125
SRX1304158	SRR2558126
SRX1304159	SRR2558127
SRX1304160	SRR2558128
SRX1304161	SRR2558129
SRX1304162	SRR2558130
SRX1304163	SRR2558131
SRX1304164	SRR2558132
SRX1304165	SRR2558133
SRX1304166	SRR2558134
SRX1304167	SRR2558135
SRX1304168	SRR2558136
SRX1304169	SRR2558137
SRX1304170	SRR2558138
SRX1304171	SRR2558139
SRX1304172	SRR2558140
SRX1304173	SRR2558141
SRX1304174	SRR2558142
SRX1304175	SRR2558143
SRX1304176	SRR2558144
SRX1304177	SRR2558145
SRX1304178	SRR2558146
SRX1304179	SRR2558147
SRX1304180	SRR2558148
SRX1304181	SRR2558149
SRX1304182	SRR2558150
SRX1304183	SRR2558151
SRX1304184	SRR2558152
SRX1304185	SRR2558153
SRX1304186	SRR2558154
SRX1304187	SRR2558155
SRX1304188	SRR2558156
SRX1304189	SRR2558157
SRX1304190	SRR2558158
SRX1304191	SRR2558159
SRX1304192	SRR2558160
SRX1304193	SRR2558161
SRX1304194	SRR2558162
SRX1304195	SRR2558163
SRX1304196	SRR2558164
SRX1304197	SRR2558165
SRX1304198	SRR2558166
SRX1304199	SRR2558167
SRX1304200	SRR2558168
SRX1304201	SRR2558169
SRX1304202	SRR2558170
SRX1304203	SRR2558171
SRX1304204	SRR2558172
SRX1304205	SRR2558173
SRX1304206	SRR2558174
SRX1304207	SRR2558175
SRX1304208	SRR2558176
SRX1304209	SRR2558177
SRX1304210	SRR2558178
SRX1304211	SRR2558179
SRX1304212	SRR2558180
SRX1304213	SRR2558181
SRX1304214	SRR2558182
